,Height(Inches),Weight(Pounds)
86,67.36436,140.8901
87,70.09297,131.5916
88,70.1766,121.1232
89,68.22556,131.5127
90,68.12932,136.5479
91,70.24256,141.4896
92,71.48752,140.6104
93,69.20477,112.1413
94,70.06306,133.457
95,70.55703,131.8001
96,66.28644,120.0285
97,63.42577,123.0972
98,66.76711,128.1432
99,68.88741,115.4759
100,64.87434,102.0927
101,67.09272,130.353
102,68.34761,134.1842
103,65.61073,98.64133
104,67.75551,114.5599
105,68.0212,123.4917
106,67.66193,123.048
107,66.3146,126.4772
108,69.43706,128.417
109,63.83624,127.1941
110,67.72277,122.0562
111,70.05098,127.6064
112,70.18602,131.6423
113,65.94588,111.8955
114,70.007,122.039
115,68.61129,128.5547
116,68.80817,132.6792
117,69.76212,136.0632
118,65.45539,115.9403
119,68.82534,136.9041
120,65.8003,119.8804
121,67.21474,109.0055
122,69.42021,128.2705
123,68.94396,135.2913
124,67.9415,106.8558
125,65.62506,123.2939
126,66.49607,109.5143
127,67.92809,119.3087
128,68.89415,140.2402
129,70.241,133.9841
130,68.26623,132.5807
131,71.23161,130.6988
132,69.09747,115.5637
133,64.39693,123.7941
134,71.09585,128.1427
135,68.21868,135.9646
136,65.91721,116.6273
137,67.4369,126.8241
138,73.90107,151.3913
139,69.98149,130.4022
140,69.51862,136.2068
141,65.18437,113.3989
142,68.00869,125.3287
143,68.3384,127.5846
144,65.18417,107.1564
145,68.26209,116.4588
146,68.56865,133.8402
147,64.49675,112.8901
148,68.71053,130.7568
149,68.89148,137.7571
150,69.54011,125.4036
151,67.39964,138.4659
152,66.47521,120.8184
153,66.01217,140.1539
154,72.44434,136.7397
155,64.12642,106.1139
156,70.98112,158.9562
157,67.50124,108.7868
158,72.01515,138.7758
159,65.31143,115.9136
160,67.07509,146.2922
161,64.39148,109.8765
162,69.37003,139.0499
163,68.37921,119.9001
164,65.31018,128.3069
165,67.1369,127.2428
166,68.39468,115.2306
167,66.2918,124.7975
168,67.1866,126.9511
169,65.99156,111.2711
170,69.43393,122.6089
171,67.97463,124.2084
172,67.76133,124.6453
173,65.27864,119.5169
174,73.83364,139.2983
175,66.81312,104.8265
176,66.89411,123.0424
177,65.73568,118.8923
178,65.98283,121.4939
179,66.58396,119.2488
180,67.11294,135.0239
181,65.87481,116.228
182,66.78067,109.1731
183,68.73577,124.2237
184,66.22666,141.1645
185,65.95968,129.1501
186,68.58372,127.8693
187,66.59347,120.9244
188,66.96574,127.6466
189,68.08015,101.4693
190,70.19025,144.9927
191,65.52149,110.9523
192,67.45905,132.8625
193,67.40985,146.3385
194,69.66158,145.5894
195,65.79799,120.8431
196,66.10558,115.7813
197,68.23987,128.3019
198,68.02403,127.4718
199,71.39044,127.8761
200,65.7316,121.4997
201,66.43358,112.7148
202,70.01309,135.002
203,69.48146,128.6789
204,68.62764,124.4062
205,68.36275,140.026
206,68.39028,117.519
207,68.77413,143.8737
208,69.9236,141.1703
209,71.55542,155.9414
210,68.44764,134.0093
211,66.71398,130.0975
212,66.68413,106.2265
213,67.93699,112.0489
214,68.89855,136.1884
215,67.29191,131.236
216,69.57212,131.3231
217,67.67479,119.5261
218,69.04155,116.9965
219,67.96765,138.5255
220,65.83982,109.6518
221,65.77288,130.1569
222,71.14106,137.1114
223,67.83055,113.759
224,65.0693,114.9725
225,69.70745,127.7149
226,69.92983,121.9972
227,66.11569,117.9607
228,68.61364,127.7141
229,68.9976,117.9619
230,66.79171,125.1554
231,68.02363,141.1026
232,69.67258,145.4822
233,71.82178,116.065
234,72.74676,135.7458
235,67.27951,132.9248
236,67.41015,115.6622
237,68.5315,114.3184
238,68.47126,148.952
239,68.51867,142.1878
240,63.72529,134.104
241,67.70483,141.8926
242,69.47115,138.7444
243,66.70198,134.449
244,65.23126,117.0167
245,69.89473,115.6752
246,69.83048,134.7905
247,65.3979,120.5746
248,68.32214,120.0835
249,65.93895,84.3598
250,70.09805,138.9394
251,66.05531,143.5245
252,68.23481,123.1347
253,65.21758,115.5261
254,69.16173,120.9844
255,67.60064,120.6473
256,67.28621,124.0352
257,66.84323,117.2238
258,68.08281,127.9598
259,66.56991,116.7527
260,70.16973,121.9957
261,67.85113,123.9952
262,66.62309,108.855
263,63.68816,104.6574
264,68.0356,132.248
265,66.941,127.1834
266,66.26292,125.1209
267,70.7301,133.322
268,70.70844,122.3364
269,73.26872,130.2636
270,63.79021,116.7431
271,67.84109,125.8534
272,67.78058,100.627
273,67.23901,118.4945
274,66.75701,137.1255
275,69.03098,118.6991
276,68.52652,124.1641
277,64.65419,124.9442
278,65.14295,126.3889
279,66.74124,121.5255
280,66.99923,133.2951
281,70.26611,127.4072
282,67.57666,125.08
283,66.30582,102.8114
284,68.90702,134.2212
285,65.60543,100.9758
286,68.00189,145.8886
287,69.93715,155.3046
288,70.1459,138.7175
289,66.66364,116.2611
290,69.40676,120.6087
291,66.80598,114.4083
292,67.70048,133.3406
293,69.13438,92.74955
294,67.53769,131.7825
295,65.77912,118.3865
296,66.25769,131.1466
297,67.39038,130.2033
298,64.94327,129.1836
299,69.25699,143.1445
300,69.07739,138.7307
301,69.64403,130.9528
302,69.07705,124.3032
303,68.01304,135.3702
304,68.85664,124.1988
305,63.19158,111.2389
306,65.57591,129.4037
307,69.12101,127.7444
308,69.78765,121.3311
309,67.48203,118.2183
310,69.08809,123.3441
311,68.5529,151.9118
312,68.21327,115.3108
313,67.1012,122.3844
314,71.23661,129.2323
315,69.11946,138.2824
316,65.49848,144.0565
317,66.58706,120.8482
318,67.99831,113.3034
319,72.57747,149.3227
320,67.97585,130.6373
321,66.62347,122.387
322,67.29574,133.8677
323,65.95951,134.8336
324,66.54011,137.8363
325,68.07723,112.6812
326,65.83291,121.1964
327,69.23721,114.9262
328,64.69413,110.3762
329,69.21372,126.0337
330,67.16792,118.7008
331,67.8467,119.3108
332,69.27389,150.7397
333,67.90547,121.1142
334,67.076,118.4065
335,70.01531,142.759
336,70.05454,145.6305
337,70.86714,127.3425
338,66.0586,115.9678
339,65.23745,104.4441
340,68.7413,138.4905
341,69.51946,145.5049
342,70.30764,124.4065
343,67.29982,124.1866
344,67.60582,126.1659
345,67.85566,138.8125
346,66.46536,121.5515
347,68.92071,114.2555
348,68.46886,129.4022
349,69.5193,137.5583
350,70.23956,134.4996
351,67.85651,127.7103
352,68.00435,115.6709
353,67.13983,131.5906
354,68.09931,127.5839
355,68.99077,125.7211
356,69.32618,119.9885
357,70.09286,140.8676
358,68.74304,136.9164
359,64.18633,118.4759
360,66.09074,129.5516
361,69.24418,152.0714
362,69.66512,120.8646
363,68.42721,136.1027
364,68.28613,130.0611
365,69.37684,131.7743
366,68.35315,139.38
367,72.32489,168.229
368,70.37159,127.6446
369,65.72927,131.8008
370,66.49627,122.8561
371,70.81339,140.2133
372,67.37579,142.6929
373,67.79709,137.4299
374,68.1607,126.0392
375,68.85782,143.5985
376,67.71342,122.62
377,64.66007,108.6044
378,65.73721,100.6617
379,68.42441,116.1397
380,68.88946,140.5293
381,68.27367,125.6907
382,69.18045,134.3329
383,72.60996,136.4649
384,66.04157,127.8822
385,69.2288,123.1361
386,68.87697,116.3375
387,66.46042,124.5581
388,69.30444,125.7853
389,67.58249,107.5905
390,69.41816,143.0236
391,67.46867,118.7434
392,66.44873,118.9856
393,68.76185,131.8744
394,63.76881,119.3691
395,69.03663,126.1223
396,66.48966,126.6122
397,66.74224,113.5597
398,67.69394,115.8413
399,66.69066,130.2738
400,67.02877,125.4542
401,65.91096,117.1655
402,70.0304,137.3184
403,69.26978,149.4447
404,70.07695,151.0695
405,64.90942,116.9994
406,69.68744,138.1787
407,67.56524,127.621
408,63.85529,120.7514
409,71.6189,144.2537
410,64.98993,105.7939
411,64.60759,120.1567
412,62.01666,109.0848
413,65.28516,125.971
414,67.70163,110.2325
415,70.85794,134.4706
416,68.17075,115.5067
417,67.45006,125.1086
418,71.04224,116.4113
419,67.83032,133.3944
420,67.15488,108.7478
421,68.30289,134.3986
422,65.41208,131.2085
423,68.66755,130.8318
424,70.06733,127.0838
425,69.13413,119.4067
426,67.02078,105.5616
427,65.52274,134.4733
428,70.19808,132.6897
429,67.66866,126.058
430,69.73257,126.3532
431,67.61719,142.3603
432,70.79589,124.5873
433,69.65804,122.3604
434,66.73277,123.2298
435,67.58008,131.4049
436,65.25317,124.3037
437,70.71387,128.3836
438,71.27374,136.853
439,66.55913,118.0569
440,68.04247,121.4969
441,68.11699,119.2811
442,71.2367,126.5545
443,66.92387,129.2477
444,71.10381,134.7804
445,69.41466,146.0725
446,69.16807,162.4109
447,68.57725,130.1885
448,69.60315,132.1941
449,69.05087,127.4591
450,68.28699,125.3466
451,69.25276,134.7559
452,68.23862,121.9395
453,67.6868,125.6688
454,68.84083,145.956
455,69.52061,119.9207
456,66.97668,111.5093
457,72.0053,138.676
458,67.44482,135.0151
459,66.06214,116.509
460,65.5747,123.9575
461,68.30171,136.952
462,71.02603,153.0797
463,70.76882,126.357
464,67.50812,145.0614
465,69.50936,135.1739
466,66.4455,108.806
467,68.5689,110.5155
468,67.01296,138.2685
469,68.70004,119.5111
470,68.23013,115.3214
471,70.40713,132.3684
472,65.69989,93.99438
473,65.7031,127.4051
474,68.48055,134.3024
475,66.62891,124.9721
476,66.84285,124.072
477,69.89734,133.5476
478,67.6543,134.1509
479,68.30917,130.2489
480,69.74848,138.0935
481,68.57906,126.6064
482,68.14477,131.8076
483,67.98093,131.7363
484,64.82535,117.6261
485,69.20785,126.1943
486,69.2656,127.5132
487,70.9403,142.4785
488,69.07826,139.444
489,66.20183,110.3204
490,71.05779,131.9541
491,68.99493,129.2037
492,70.96089,124.3513
493,66.02496,126.5251
494,69.8641,149.2303
495,66.82802,142.1577
496,69.09424,127.1436
497,66.81425,122.3353
498,67.13183,112.6659
499,64.57428,134.2647
500,68.68038,120.6936
501,67.53724,115.783
502,71.17732,128.6855
503,70.53514,134.7611
504,71.53411,118.3419
505,66.77301,106.1557
506,66.33636,126.3823
507,64.83095,114.3716
508,68.38247,130.2787
509,68.05038,123.3066
510,69.09149,122.8571
511,69.91046,125.6932
512,68.40737,111.7247
513,68.32559,125.5516
514,66.95555,119.9702
515,70.54816,132.6043
516,69.37805,132.6738
517,67.52012,117.4521
518,64.87142,101.8549
519,69.13396,128.4418
520,68.81192,134.0414
521,67.56446,127.7511
522,68.16772,127.6172
523,65.80687,139.3971
524,64.92276,113.9381
525,68.35584,147.5188
526,66.71546,132.6523
527,69.18196,132.8139
528,65.88795,105.0942
529,66.03733,127.5187
530,69.44194,130.7305
531,67.14847,128.5815
532,65.69442,122.5699
533,69.42723,157.2961
534,66.54503,121.1097
535,69.04469,147.5061
536,67.62036,117.493
537,69.59105,132.4472
538,68.12343,118.1774
539,71.22641,123.7319
540,66.43285,130.365
541,66.31808,122.8882
542,68.02724,107.8693
543,68.2876,118.591
544,66.91609,125.6467
545,71.77546,148.6016
546,66.04535,150.279
547,69.01455,127.0678
548,68.70744,128.7122
549,65.012,118.4233
550,66.05857,125.3879
551,71.16403,149.2676
552,67.55274,107.3484
553,68.83455,133.6992
554,68.11811,124.8508
555,67.90528,112.7028
556,67.64085,127.8407
557,69.78282,134.1615
558,67.99889,138.6031
559,69.41465,126.044
560,70.42989,129.5856
561,67.67519,134.1054
562,67.88036,106.1251
563,68.06905,127.0561
564,66.99435,121.9241
565,71.57689,150.7365
566,64.36564,116.0061
567,67.93011,125.4748
568,69.91863,131.6099
569,69.93864,129.0696
570,66.79766,129.1117
571,70.11119,148.1624
572,68.94814,105.388
573,68.02886,110.5447
574,69.36148,118.6402
575,68.44886,122.8151
576,65.70282,124.887
577,69.55674,135.7695
578,65.84635,116.4563
579,68.79983,125.3617
580,69.03835,133.122
581,67.36352,138.3328
582,70.35788,124.4972
583,69.88828,136.7205
584,65.15319,115.0153
585,69.40907,132.6366
586,68.50874,143.1323
587,65.71552,134.7422
588,63.98308,122.6246
589,70.07685,153.5634
590,68.42542,126.289
591,68.23665,134.7206
592,67.82856,134.5987
593,66.31277,118.3945
594,69.75128,121.2997
595,65.70901,132.2844
596,66.88227,139.0617
597,67.2791,110.698
598,70.63357,154.1073
599,69.9377,124.1592
600,65.87671,134.5173
601,72.44694,138.2622
602,70.07052,149.0801
603,67.68486,127.0075
604,66.1151,117.8222
605,69.94355,148.9096
606,68.24317,128.2151
607,68.80144,129.6944
608,66.61818,125.5674
609,70.18701,128.7947
610,65.58971,124.187
611,68.69566,151.4167
612,64.88639,106.9803
613,69.81993,145.6221
614,66.33962,121.5926
615,70.4434,130.9386
616,69.99163,135.6203
617,70.13617,123.9315
618,67.1793,131.9955
619,68.2034,117.484
620,67.76121,129.6577
621,64.79753,122.3706
622,66.47871,114.5867
623,66.98337,116.5401
624,65.69991,139.4307
625,66.82705,123.4822
626,66.35141,132.5492
627,70.13491,143.4013
628,70.11565,132.9429
629,64.56145,98.8972
630,68.15724,122.4342
631,67.1475,104.6767
632,70.88927,142.7847
633,68.16218,130.9283
634,71.19657,143.827
635,67.92444,142.2832
636,65.30204,107.9441
637,66.40756,105.6891
638,71.30647,125.4007
639,69.05997,106.4195
640,65.95442,118.5371
641,69.63776,136.7836
642,71.10495,145.9328
643,66.21851,129.637
644,66.13469,108.4955
645,67.7851,121.2537
646,66.67737,135.7399
647,69.99408,137.5026
648,71.1441,124.0052
649,68.63927,128.8613
650,69.08548,133.6811
651,67.97389,106.5185
652,65.94809,113.0398
653,66.02102,125.9639
654,71.23576,140.2945
655,67.52674,143.229
656,71.06935,145.8063
657,68.27178,128.1697
658,67.31932,134.1839
659,68.98848,140.2166
660,68.404,146.3453
661,67.092,132.0784
662,66.76866,122.13
663,65.64636,131.4693
664,65.34105,129.5167
665,68.18299,125.7451
666,70.65924,153.1384
667,65.94401,124.5559
668,69.62792,134.8225
669,68.29965,115.3877
670,70.06075,117.9618
671,68.43602,124.5647
672,69.27012,134.4043
673,67.70511,129.3092
674,70.89315,133.1423
675,70.54313,147.3609
676,71.58086,155.0132
677,68.42301,126.2905
678,69.35781,134.4605
679,70.445,134.0296
680,67.38153,128.9248
681,67.50767,123.0543
682,68.52054,112.1788
683,66.80858,111.7443
684,72.38532,148.4615
685,68.51642,136.7459
686,70.79791,133.2068
687,66.21905,116.8855
688,68.31167,124.8542
689,67.1715,121.5809
690,67.7714,123.197
691,67.47328,137.1255
692,67.77463,121.4941
693,69.20099,150.9398
694,70.04297,142.3009
695,70.56979,134.7527
696,66.45379,133.5585
697,67.68132,136.0895
698,65.75638,95.20216
699,69.3549,119.7404
700,70.5902,152.9146
701,67.27626,140.1991
702,68.48853,145.2503
703,67.02188,119.4855
704,65.77613,123.512
705,65.96579,110.6754
706,68.18868,111.4951
707,72.08595,139.4849
708,66.85358,133.088
709,69.10929,133.5196
710,64.5909,112.7698
711,67.03849,124.7975
712,68.99156,123.4224
713,70.59872,142.0921
714,70.08988,116.2814
715,65.6844,131.1256
716,67.0982,131.2493
717,66.03932,127.2422
718,69.26423,122.4523
719,66.61351,115.2431
720,68.11738,126.9532
721,69.73059,143.4439
722,64.02042,125.377
723,66.23753,109.0095
724,72.46761,139.2411
725,66.21938,102.182
726,71.2978,144.3898
727,63.1255,83.08527
728,70.93034,145.3938
729,68.25489,134.9267
730,64.78014,134.678
731,65.42982,111.4963
732,68.91361,119.7951
733,64.96937,95.70426
734,66.15237,117.159
735,65.98386,127.2356
736,69.2435,144.9205
737,68.31982,122.8464
738,70.11607,134.19
739,68.63521,124.9776
740,67.74289,135.8441
741,64.58641,120.8222
742,64.66165,125.0174
743,65.90771,133.5474
744,65.77649,124.5583
745,67.1506,135.9691
746,72.24339,143.5738
747,68.73199,130.5725
748,67.57019,127.192
749,70.36234,141.2372
750,63.62233,107.4236
751,66.20711,122.3234
752,66.22114,111.6055
753,70.0722,137.8915
754,69.6563,142.8742
755,66.25043,114.4349
756,68.0704,128.2736
757,67.14808,134.5725
758,68.76609,140.1034
759,68.12075,121.977
760,65.72987,111.4248
761,69.17439,135.0756
762,70.36351,132.9826
763,70.78557,117.7566
764,70.88083,134.9877
765,66.62148,151.6121
766,69.9829,128.9287
767,66.92866,120.1575
768,71.45806,125.6007
769,69.66344,127.8292
770,69.30943,136.1354
771,66.59775,116.2841
772,64.20209,127.0777
773,68.23051,125.7165
774,70.09021,121.0749
775,70.9755,122.7382
776,64.93134,119.4545
777,66.90106,132.9048
778,69.19803,132.8687
779,68.4149,124.3486
780,66.3163,132.2198
781,72.13467,142.804
782,65.74613,129.605
783,69.96677,128.5326
784,65.11417,112.9919
785,67.43294,122.0795
786,66.39785,118.396
787,67.18769,130.1299
788,67.68597,111.6824
789,67.77469,142.2452
790,63.62937,122.6049
791,66.447,122.8198
792,71.9233,119.1123
793,67.92214,139.4335
794,68.01143,141.3353
795,67.76524,119.787
796,69.19791,136.326
797,67.00109,118.4099
798,67.09659,137.692
799,69.85144,129.078
800,67.42782,123.4642
801,68.1104,115.4311
802,68.29433,129.931
803,69.45176,135.9563
804,69.08219,127.8134
805,70.91753,139.1014
806,64.20566,109.2132
807,71.10315,124.6154
808,72.08523,136.221
809,66.15119,120.4722
810,67.52898,116.1659
811,67.17586,115.5093
812,72.92955,141.9961
813,65.54112,135.4869
814,69.08487,135.1305
815,65.28991,108.2494
816,68.53447,125.1277
817,71.32802,142.8947
818,66.88095,128.2978
819,67.91196,128.268
820,67.00238,103.5665
821,68.27584,156.1069
822,66.20276,104.9661
823,64.24214,121.6365
824,67.43738,132.0066
825,64.50081,118.4079
826,68.89607,135.3898
827,70.32908,140.6633
828,64.31742,111.6703
829,67.11253,128.0328
830,68.01206,130.4737
831,68.25267,128.2127
832,67.76873,142.8202
833,67.44291,123.0804
834,65.73581,117.8771
835,69.64372,130.9274
836,71.92818,129.1735
837,69.39435,144.5784
838,67.14717,115.8635
839,69.1469,116.5322
840,66.90594,141.9947
841,67.838,132.1304
842,68.09614,135.2607
843,66.14093,127.0684
844,71.16386,129.844
845,67.55757,134.5066
846,70.01279,121.3609
847,72.56431,143.1486
848,66.60224,124.7741
849,68.51802,120.1546
850,66.34638,139.4163
851,69.02692,131.6743
852,69.12446,131.07
853,68.24578,129.8914
854,68.4869,123.344
855,70.68261,137.5314
856,70.35969,136.8886
857,67.62401,118.4024
858,69.4463,116.2441
859,67.92486,124.8433
860,68.39347,120.9809
861,66.31812,105.1208
862,71.22882,145.4377
863,65.29169,108.1912
864,66.00287,130.3778
865,67.61775,117.5157
866,69.10276,135.8762
867,68.99743,127.5126
868,69.07531,151.3998
869,68.34086,112.4799
870,71.68196,156.7554
871,68.77664,138.2098
872,66.18191,109.5685
873,72.37092,139.9742
874,66.85155,124.5873
875,65.75688,130.5023
876,69.69245,151.0783
877,66.27915,108.7722
878,66.47752,105.9927
879,68.71912,143.4301
880,68.29244,114.7434
881,67.66696,123.7736
882,71.29885,139.4769
883,67.07369,115.8201
884,70.68048,146.5682
885,71.40114,153.9993
886,71.00392,137.5899
887,66.2799,125.9287
888,68.05383,139.6939
889,64.16346,126.3585
890,66.87966,113.9307
891,70.52968,129.7605
892,65.45595,116.1925
893,69.11331,139.1294
894,67.94221,126.9815
895,67.2132,125.8352
896,67.6372,113.524
897,70.09365,123.2372
898,64.41354,123.0554
899,69.77698,128.133
900,66.58181,127.9357
901,68.14995,110.4678
902,66.18165,127.9364
903,66.79412,118.1678
904,67.1657,129.7243
905,68.01904,130.6094
906,66.95837,105.0414
907,68.70397,122.6299
908,69.68057,138.3259
909,66.52793,107.7381
910,66.46981,141.4417
911,71.44643,153.6966
912,66.62648,134.5551
913,64.01015,109.6593
914,65.03312,117.2029
915,66.77216,124.2843
916,68.91932,125.2193
917,71.22926,133.2256
918,71.10332,122.6042
919,69.80699,134.8652
920,67.09127,111.4506
921,67.27958,116.8458
922,71.86593,143.1527
923,67.20197,99.92383
924,68.44108,127.9232
925,67.20278,136.658
926,69.36588,145.3947
927,69.0416,126.6818
928,65.9056,128.1983
929,66.44766,122.8328
930,66.08009,133.2571
931,69.35367,116.7606
932,70.83359,144.0455
933,67.664,132.5153
934,65.30966,123.9832
935,66.66817,113.1423
936,66.93271,123.9512
937,67.73938,133.9787
938,64.27722,128.1519
939,66.83442,121.2878
940,65.89728,122.7107
941,67.6564,125.4136
942,68.68966,124.8761
943,66.08003,116.5903
944,66.91344,129.889
945,69.48392,123.889
946,68.60001,137.6571
947,69.21225,130.8805
948,67.63342,141.9706
949,65.73405,125.7334
950,66.09947,104.4108
951,67.65293,117.0685
952,67.59619,131.7669
953,69.57859,125.4738
954,66.08879,129.5734
955,70.08026,130.1053
956,65.00956,131.9305
957,69.16464,142.4645
958,69.61276,127.6431
959,71.48367,153.3153
960,69.47413,126.7609
961,69.0027,114.0258
962,69.5581,133.9684
963,68.63746,127.5869
964,67.20262,126.4859
965,66.07614,120.7651
966,66.18342,126.6479
967,70.80778,133.0747
968,67.158,125.9649
969,65.2973,121.3206
970,69.23494,129.7824
971,68.90768,130.0549
972,72.3478,123.4005
973,68.29557,137.2791
974,68.34735,127.7554
975,67.46476,133.6853
976,68.86803,113.9275
977,66.62471,135.6168
978,64.77193,122.6005
979,67.70647,118.9472
980,72.992,134.2703
981,70.95194,124.2747
982,67.95677,130.6981
983,67.20959,124.6797
984,66.36959,129.0839
985,67.63896,121.9456
986,69.74444,126.2689
987,68.17532,134.6122
988,66.89711,131.8476
989,67.4966,103.5828
990,66.51569,116.3925
991,66.88332,123.5095
992,69.7277,150.3395
993,69.78345,135.2437
994,65.40046,112.4584
995,67.99831,137.4861
996,72.25581,132.7902
997,70.79562,126.0286
998,65.18786,141.3591
999,67.7123,135.9065
1000,70.05146,134.6655
1001,67.30497,122.0232
1002,66.39813,128.3502
1003,69.73637,130.6354
1004,68.71659,131.717
1005,63.88437,108.6132
1006,68.40851,114.5673
1007,67.93251,133.5136
1008,70.69674,135.8641
1009,68.95083,148.1093
1010,66.49457,123.5179
1011,68.59369,120.8406
1012,66.26442,116.2666
1013,69.58656,123.8986
1014,67.35651,119.32
1015,69.68727,119.4097
1016,68.44046,124.5933
1017,68.47973,130.8802
1018,65.45463,118.2058
1019,66.8085,109.6357
1020,70.05212,140.2298
1021,67.43558,121.5764
1022,66.54306,98.30262
1023,67.32353,117.6173
1024,67.9725,136.5104
1025,69.03858,148.9791
1026,67.69453,123.9665
1027,69.30508,133.5957
1028,65.39643,117.2334
1029,68.35638,123.5943
1030,65.36888,117.7674
1031,68.36499,137.2321
1032,71.15702,129.1996
1033,69.25532,142.4032
1034,66.6984,128.4838
1035,69.17548,115.3008
1036,68.31559,119.5309
1037,67.81616,121.7224
1038,68.56123,142.8442
1039,66.23085,110.1171
1040,68.95099,122.0958
1041,67.86761,124.8188
1042,68.05498,119.3169
1043,67.73986,132.4571
1044,69.83641,133.0316
1045,70.68574,160.8831
1046,64.54385,119.127
1047,67.93112,138.516
1048,67.77291,124.8232
1049,69.41312,135.9744
1050,67.77213,116.2254
1051,67.79965,139.2002
1052,67.98313,137.983
1053,69.97983,144.5084
1054,63.83261,109.1938
1055,65.57212,127.228
1056,69.34307,124.5517
1057,67.28398,114.926
1058,68.7435,132.5027
1059,69.03112,125.3892
1060,69.64426,128.4988
1061,66.70052,117.7319
1062,67.9143,112.9531
1063,64.36849,126.1835
1064,65.87507,118.7934
1065,67.07427,125.4388
1066,69.34545,124.9451
1067,69.83212,145.5139
1068,66.10245,116.7836
1069,69.26205,132.5216
1070,68.33525,114.8933
1071,69.38017,122.8594
1072,69.12887,130.5782
1073,68.44658,119.1058
1074,66.34542,133.8204
1075,70.03275,128.5779
1076,70.16523,139.0179
1077,68.18324,101.2876
1078,70.12378,140.958
1079,68.4296,134.6146
1080,66.43974,129.9482
1081,71.72703,139.064
1082,70.72387,135.1996
1083,68.09022,129.682
1084,70.12976,129.1395
1085,66.05393,129.0051
1086,69.77059,112.7357
1087,68.15816,126.1123
1088,69.91372,118.3724
1089,65.34461,122.9731
1090,68.35621,130.3663
1091,64.50585,114.226
1092,67.95491,115.7854
1093,68.57621,137.9526
1094,68.12257,112.2435
1095,68.77583,137.237
1096,67.92593,124.9418
1097,69.1484,135.0961
1098,63.20539,114.4199
1099,69.2442,122.1823
1100,65.88645,129.375
1101,67.85186,129.9448
1102,65.57418,140.4557
1103,66.70819,120.8977
1104,69.172,129.159
1105,69.23593,137.1397
1106,67.57232,145.2218
1107,69.50518,140.0956
1108,70.60288,124.12
1109,66.54152,135.6875
1110,69.11494,127.756
1111,69.951,144.0475
1112,67.70347,131.9333
1113,69.19028,135.5263
1114,67.8047,151.3579
1115,67.62532,124.7073
1116,70.36898,135.274
1117,71.02595,136.5388
1118,69.8452,137.8778
1119,67.08638,114.2066
1120,68.62013,141.5844
1121,64.37275,111.0969
1122,65.93523,126.3868
1123,65.24285,132.8885
1124,70.51481,144.7904
1125,66.61129,108.3859
1126,67.13394,124.1348
1127,66.77634,129.4462
1128,67.69385,131.3339
1129,67.82809,111.6411
1130,66.63254,111.6422
1131,67.62229,140.3178
1132,69.66798,125.5286
1133,62.75039,114.49
1134,64.53878,113.998
1135,68.01929,117.1931
1136,66.38551,138.3156
1137,70.18724,122.3712
1138,64.646,132.9431
1139,67.48819,124.0449
1140,72.01807,144.1591
1141,66.61356,115.4581
1142,65.81803,116.5192
1143,71.16185,139.6139
1144,68.51977,133.2364
1145,64.96088,120.025
1146,66.88268,123.1111
1147,70.3531,132.8462
1148,67.71744,120.9359
1149,66.03333,129.7702
1150,68.9826,136.9118
1151,68.60237,131.121
1152,66.8408,133.484
1153,68.03659,136.3871
1154,64.79586,131.4559
1155,70.55126,126.1986
1156,68.28166,115.046
1157,68.77574,130.3178
1158,67.09315,131.6954
1159,70.14303,135.6519
